input,output,type,variant,prompt_strategy,temperature,reasoning_effort,image_detail,strategy,complexity,provider,model,model_reported,run,attempt,generation_id,context_tokens,context_components,duration,input_tokens,output_tokens,total_tokens,cached_tokens,cache_write_tokens,reasoning_tokens,cost_usd,cost_prompt_usd,cost_completion_usd,extraction_ok,parse_ok,truncated,sfc_bytes,sfc_lines,stop_reason,native_finish_reason,refusal,error,created_at
hard-1,1-b1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,,b1,hard,Amazon Bedrock,claude-sonnet-5,antrophic/claude-sonnet-5,1,1,gen-1785259994-8Tomtz6mT2QBXkCPWByM,0,0,8781.1728,12928,895,13823,0,0,0,0.034806,0.025856,0.00895,True,True,False,2290,80,stop,end_turn,,,2026-07-28T19:33:25.162296
hard-10,10-b1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,,b1,hard,Amazon Bedrock,claude-sonnet-5,antrophic/claude-sonnet-5,1,1,gen-1785260003-thSF4wwoH4f81SYDZ77U,0,0,12947.7172,35390,1268,36658,0,0,0,0.08346,0.07078,0.01268,True,True,False,3215,128,stop,end_turn,,,2026-07-28T19:33:38.121710
hard-2,2-b1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,,b1,hard,Amazon Bedrock,claude-sonnet-5,antrophic/claude-sonnet-5,1,1,gen-1785260018-Df7DAWiWmbZB7FbQwVrx,0,0,9685.3929,20732,677,21409,0,0,0,0.048234,0.041464,0.00677,True,True,False,1595,66,stop,end_turn,,,2026-07-28T19:33:47.813070
hard-3,3-b1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,,b1,hard,Amazon Bedrock,claude-sonnet-5,antrophic/claude-sonnet-5,1,1,gen-1785260025-76CMznJS3hMgJtmTEmm5,0,0,11084.3863,50088,856,50944,0,0,0,0.108736,0.100176,0.00856,True,True,False,2083,74,stop,end_turn,,,2026-07-28T19:33:58.910007
hard-4,4-b1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,,b1,hard,Amazon Bedrock,claude-sonnet-5,antrophic/claude-sonnet-5,1,1,gen-1785260036-w1O5pKodZoASs3K3MPCR,0,0,10501.6723,24701,1117,25818,0,0,0,0.060572,0.049402,0.01117,True,True,False,2721,112,stop,end_turn,,,2026-07-28T19:34:09.423699
hard-5,5-b1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,,b1,hard,Amazon Bedrock,claude-sonnet-5,antrophic/claude-sonnet-5,1,1,gen-1785260047-6uT1fhtS4G8bvtUxtN8X,0,0,10754.5736,11065,1200,12265,0,0,0,0.03413,0.02213,0.012,True,True,False,3085,85,stop,end_turn,,,2026-07-28T19:34:20.184258
hard-6,6-b1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,,b1,hard,Amazon Bedrock,claude-sonnet-5,antrophic/claude-sonnet-5,1,1,gen-1785260058-g8Bpr4GTHVxZKHAvZBw8,0,0,4920.8817,8536,277,8813,0,0,0,0.019842,0.017072,0.00277,True,True,False,625,30,stop,end_turn,,,2026-07-28T19:34:25.111167
hard-7,7-b1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,,b1,hard,Amazon Bedrock,claude-sonnet-5,antrophic/claude-sonnet-5,1,1,gen-1785260062-oUQlJjC7uxPwsRVamuYy,0,0,9803.6783,19942,1073,21015,0,0,0,0.050614,0.039884,0.01073,True,True,False,2507,85,stop,end_turn,,,2026-07-28T19:34:34.919841
hard-8,8-b1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,,b1,hard,Amazon Bedrock,claude-sonnet-5,antrophic/claude-sonnet-5,1,1,gen-1785260072-PJ3WSGMIEv9GpHXHcZ2T,0,0,8030.8399,7728,888,8616,0,0,0,0.024336,0.015456,0.00888,True,True,False,2214,61,stop,end_turn,,,2026-07-28T19:34:42.954695
hard-9,9-b1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,,b1,hard,Amazon Bedrock,claude-sonnet-5,antrophic/claude-sonnet-5,1,1,gen-1785260080-tNVftlBEYTNHUNhOBDEY,0,0,12231.1897,17216,1235,18451,0,0,0,0.046782,0.034432,0.01235,True,True,False,3170,111,stop,end_turn,,,2026-07-28T19:34:55.193118
