input,output,complexity,model,strategy,image_detail,duration_ms,sfc_bytes,sfc_lines,ast_depth_approx,parse_ok,input_tokens,cached_tokens,cache_discount,output_tokens,context_tokens,context_components,stop_reason,cost_usd,error
hard-1,1-c1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,c1,auto,8166.4398,1941,66,13,True,1758,0,,777,0,0,stop,0.011286,
hard-10,10-c1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,c1,auto,13075.2847,2858,108,18,True,1469,0,,1242,0,0,stop,0.015358,
hard-2,2-c1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,c1,auto,7035.0802,1494,40,12,True,1282,0,,622,0,0,stop,0.008784,
hard-3,3-c1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,c1,auto,8224.4561,1566,59,12,True,1422,0,,708,0,0,stop,0.009924,
hard-4,4-c1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,c1,auto,8288.1391,1874,85,10,True,1310,0,,820,0,0,stop,0.01082,
hard-5,5-c1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,c1,auto,11835.1974,3533,109,28,True,1758,0,,1368,0,0,stop,0.017196,
hard-6,6-c1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,c1,auto,5931.1111,544,28,3,True,1074,0,,252,0,0,stop,0.004668,
hard-7,7-c1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,c1,auto,10796.2775,2186,72,13,True,1574,0,,965,0,0,stop,0.012798,
hard-8,8-c1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,c1,auto,10932.3881,2722,68,30,True,1314,0,,1152,0,0,stop,0.014148,
hard-9,9-c1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,c1,auto,11663.0895,2891,90,25,True,1758,0,,1169,0,0,stop,0.015206,
medium-1,1-c1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,c1,auto,8251.1208,1853,59,15,True,1374,0,,763,0,0,stop,0.010378,
medium-10,10-c1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,c1,auto,5369.3669,899,28,11,True,1174,0,,370,0,0,stop,0.006048,
medium-2,2-c1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,c1,auto,8561.9757,1813,51,18,True,1334,0,,801,0,0,stop,0.010678,
medium-3,3-c1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,c1,auto,6845.3152,1257,32,12,True,1214,0,,529,0,0,stop,0.007718,
medium-4,4-c1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,c1,auto,8498.5161,1278,50,11,True,1100,0,,727,0,0,stop,0.00947,
medium-5,5-c1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,c1,auto,8082.9215,1286,34,9,True,1294,0,,560,0,0,stop,0.008188,
medium-6,6-c1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,c1,auto,11152.5486,2902,56,22,True,1334,0,,1235,0,0,stop,0.015018,
medium-7,7-c1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,c1,auto,7034.5495,1481,45,15,True,1095,0,,630,0,0,stop,0.00849,
