input,output,complexity,model,strategy,image_detail,duration_ms,sfc_bytes,sfc_lines,ast_depth_approx,parse_ok,input_tokens,cached_tokens,cache_discount,output_tokens,context_tokens,context_components,stop_reason,cost_usd,error
hard-1,1-d1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d1,high,11413.0974,2339,82,17,True,13671,0,,921,0,0,stop,0.0371535,
hard-10,10-d1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d1,high,11593.6956,3363,128,20,True,36419,1203,,1324,0,0,stop,0.0839126,
hard-2,2-d1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d1,high,7237.8185,1542,64,12,True,20721,1203,,653,0,0,stop,0.0458066,
hard-3,3-d1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d1,high,9191.5121,1900,69,14,True,49733,1203,,808,0,0,stop,0.1053806,
hard-4,4-d1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d1,high,10777.8339,2703,116,12,True,25571,1203,,1080,0,0,stop,0.0597766,
hard-5,5-d1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d1,high,18283.205,5550,141,45,True,11974,1203,,2010,0,0,stop,0.0418826,
hard-6,6-d1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d1,high,4805.1341,600,28,3,True,8648,1203,,269,0,0,stop,0.0178206,
hard-7,7-d1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d1,high,10535.2695,2580,91,15,True,20364,1203,,1107,0,0,stop,0.0496326,
hard-8,8-d1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d1,high,14054.8289,2896,75,33,True,8150,1203,,1219,0,0,stop,0.0263246,
hard-9,9-d1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,d1,high,11605.8602,3340,103,31,True,18019,1203,,1308,0,0,stop,0.0469526,
medium-1,1-d1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d1,high,9218.2298,2397,65,25,True,9529,1203,,985,0,0,stop,0.0267426,
medium-10,10-d1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,d1,high,8898.8192,966,29,10,True,5045,1203,,412,0,0,stop,0.0120446,
