filename,size_before,size_after,reduction_percent,attributes_before,attributes_after,name,subset,group,file_label
hard\1.json,134385,17777,86.77,5503,800,1 [Bearbeitungs-Dialog],components,hard,components/hard/1.json
hard\10.json,257405,47994,81.35,11181,2280,10 [Admin-Panel-Liste],components,hard,components/hard/10.json
hard\2.json,168533,27358,83.77,7182,1365,2 [Nutzer-Tabelle],components,hard,components/hard/2.json
hard\3.json,426292,70154,83.54,18200,3214,3 [Filter-Leiste],components,hard,components/hard/3.json
hard\4.json,184695,34308,81.42,7975,1609,4 [Aktions-Tabelle],components,hard,components/hard/4.json
hard\5.json,188210,14250,92.43,7916,690,5 [Step-Formular-Dialog],components,hard,components/hard/5.json
hard\6.json,80072,11716,85.37,3196,515,6 [Select] - !Ändern!,components,hard,components/hard/6.json
hard\7.json,188259,27465,85.41,7853,1304,7 [Benachrichtigungs-Liste],components,hard,components/hard/7.json
hard\8.json,159493,9950,93.76,6710,482,8 [Erweiterte Produkt-Detailansicht],components,hard,components/hard/8.json
hard\9.json,149161,23956,83.94,6144,1059,9 [Termin-Buchungs-Dialog],components,hard,components/hard/9.json
medium\1.json,94220,12500,86.73,3824,546,1 [Login-Card],components,medium,components/medium/1.json
medium\10.json,49683,5718,88.49,1912,271,10 [Info-Card mit Progress],components,medium,components/medium/10.json
medium\2.json,213253,27284,87.21,8823,1281,2 [Einstellungs-Tabs],components,medium,components/medium/2.json
medium\3.json,45754,5363,88.28,1686,215,3 [FAQ-Accordion],components,medium,components/medium/3.json
medium\4.json,91450,8481,90.73,3714,408,4 [Dashboard-Navigation],components,medium,components/medium/4.json
medium\5.json,78824,10751,86.36,3131,475,5 [Produkt-Card],components,medium,components/medium/5.json
medium\6.json,78075,8979,88.5,3115,391,6 [Profil-Ansicht],components,medium,components/medium/6.json
medium\7.json,72041,9767,86.44,2863,468,7 [Paket-Liste],components,medium,components/medium/7.json
medium\8.json,71913,8805,87.76,2796,402,8 [Sidebar-Menü mit Profil],components,medium,components/medium/8.json
medium\9.json,123436,17512,85.81,5187,825,9 [Schritt-für-Schritt],components,medium,components/medium/9.json
simple\1.json,41570,5485,86.81,1679,230,1 [Password-Eingabe],components,simple,components/simple/1.json
simple\10.json,101838,17374,82.94,4248,790,10 [Filter],components,simple,components/simple/10.json
simple\2.json,23645,2505,89.41,873,130,2 [Status-Reihe],components,simple,components/simple/2.json
simple\3.json,55407,7373,86.69,2160,340,3 [Bewertungs-Eingabe],components,simple,components/simple/3.json
simple\4.json,48872,8894,81.8,1999,445,4 [Optionen-Auswahl],components,simple,components/simple/4.json
simple\5.json,38087,6067,84.07,1548,269,5 [Feedback-Eingabe],components,simple,components/simple/5.json
simple\6.json,26317,2995,88.62,1013,151,6 [Datei-Upload-Status],components,simple,components/simple/6.json
simple\7.json,20704,1833,91.15,767,105,7 [Loading State],components,simple,components/simple/7.json
simple\8.json,37041,5513,85.12,1462,233,8 [Suche],components,simple,components/simple/8.json
simple\9.json,53378,7741,85.5,2185,391,9 [Todo-Liste],components,simple,components/simple/9.json
1.json,751272,137215,81.74,32938,6418,1 [Dashboard-Übersicht],uis_pretty,pretty,uis_pretty/1.json
2.json,255464,27001,89.43,11004,1241,2 [Benutzerprofil-Einstellungen],uis_pretty,pretty,uis_pretty/2.json
3.json,396575,79508,79.95,17630,3798,3 [Aufgabenverwaltung],uis_pretty,pretty,uis_pretty/3.json
4.json,305848,60709,80.15,13255,2753,4 [Produkt-Checkout],uis_pretty,pretty,uis_pretty/4.json
5.json,493449,96815,80.38,21402,4495,5 [Termin-Buchungssystem],uis_pretty,pretty,uis_pretty/5.json
1.json,440106,74914,82.98,20950,4516,1 [Dashboard-Übersicht],uis_messy,messy,uis_messy/1.json
2.json,126527,14144,88.82,5812,867,2 [Benutzerprofil-Einstellungen],uis_messy,messy,uis_messy/2.json
3.json,241279,45050,81.33,11645,2723,3 [Aufgabenverwaltung],uis_messy,messy,uis_messy/3.json
4.json,175237,33102,81.11,8264,1964,4 [Produkt-Checkout],uis_messy,messy,uis_messy/4.json
5.json,319233,53304,83.3,14801,3120,5 [Termin-Buchungssystem],uis_messy,messy,uis_messy/5.json
