input,output,type,variant,strategy,complexity,run,duration,sfc_bytes,sfc_lines,instances_mapped,instances_unmapped,instances_total,mapping_coverage,frames_compound,frames_fallback,pv_components_unique,state_refs_count,ast_depth_max,error,created_at
1.json,1-a.vue,components,,a,hard,1,0.4805,1502,46,5,0,5,1.0,2,5,5,4,5,,2026-07-31T08:27:31.603675
10.json,10-a.vue,components,,a,hard,1,0.5935,1950,70,8,0,8,1.0,2,5,7,0,7,,2026-07-31T08:27:31.610684
2.json,2-a.vue,components,,a,hard,1,0.3364,901,34,3,0,3,1.0,1,1,5,1,5,,2026-07-31T08:27:31.614681
3.json,3-a.vue,components,,a,hard,1,0.5614,935,35,3,0,3,1.0,1,3,4,3,4,,2026-07-31T08:27:31.621675
4.json,4-a.vue,components,,a,hard,1,0.3589,1183,48,5,0,5,1.0,2,3,5,0,5,,2026-07-31T08:27:31.627674
5.json,5-a.vue,components,,a,hard,1,0.4824,2104,60,5,0,5,1.0,2,8,8,3,8,,2026-07-31T08:27:31.631690
6.json,6-a.vue,components,,a,hard,1,0.2265,428,20,0,0,0,1.0,1,1,1,1,3,,2026-07-31T08:27:31.634689
7.json,7-a.vue,components,,a,hard,1,0.6748,2862,90,18,0,18,1.0,3,17,5,0,6,,2026-07-31T08:27:31.638684
8.json,8-a.vue,components,,a,hard,1,0.4147,1218,43,2,0,2,1.0,2,5,7,0,6,,2026-07-31T08:27:31.643707
9.json,9-a.vue,components,,a,hard,1,0.4629,1737,57,8,0,8,1.0,2,7,7,4,5,,2026-07-31T08:27:31.648702
1.json,1-a.vue,components,,a,medium,1,0.3721,1080,39,5,0,5,1.0,1,5,5,3,3,,2026-07-31T08:27:31.652706
10.json,10-a.vue,components,,a,medium,1,0.2412,796,30,2,0,2,1.0,1,4,3,0,4,,2026-07-31T08:27:31.655700
2.json,2-a.vue,components,,a,medium,1,0.3984,1612,48,7,0,7,1.0,1,4,10,6,6,,2026-07-31T08:27:31.660212
3.json,3-a.vue,components,,a,medium,1,0.2377,1186,24,0,0,0,1.0,1,1,4,0,5,,2026-07-31T08:27:31.663727
4.json,4-a.vue,components,,a,medium,1,0.1211,236,12,0,0,0,1.0,1,2,1,0,3,,2026-07-31T08:27:31.667651
5.json,5-a.vue,components,,a,medium,1,0.2828,1051,35,3,0,3,1.0,1,5,4,1,4,,2026-07-31T08:27:31.670659
6.json,6-a.vue,components,,a,medium,1,0.302,874,34,1,0,1,1.0,2,2,7,0,5,,2026-07-31T08:27:31.674653
7.json,7-a.vue,components,,a,medium,1,0.3329,905,33,5,0,5,1.0,1,4,4,3,4,,2026-07-31T08:27:31.678650
8.json,8-a.vue,components,,a,medium,1,0.3323,1017,42,5,0,5,1.0,0,6,3,0,4,,2026-07-31T08:27:31.682658
9.json,9-a.vue,components,,a,medium,1,0.4115,2003,59,8,0,8,1.0,1,7,9,5,6,,2026-07-31T08:27:31.686775
1.json,1-a.vue,components,,a,simple,1,0.1761,397,19,2,0,2,1.0,0,2,2,1,2,,2026-07-31T08:27:31.689775
10.json,10-a.vue,components,,a,simple,1,0.3457,1241,38,9,0,9,1.0,0,3,6,6,3,,2026-07-31T08:27:31.693776
2.json,2-a.vue,components,,a,simple,1,0.2876,366,18,2,0,2,1.0,0,2,2,0,3,,2026-07-31T08:27:31.697783
3.json,3-a.vue,components,,a,simple,1,0.1795,436,20,2,0,2,1.0,0,2,2,2,2,,2026-07-31T08:27:31.701777
4.json,4-a.vue,components,,a,simple,1,0.1786,600,20,7,0,7,1.0,0,2,2,4,2,,2026-07-31T08:27:31.703777
5.json,5-a.vue,components,,a,simple,1,0.1841,511,22,3,0,3,1.0,0,2,3,2,2,,2026-07-31T08:27:31.706774
6.json,6-a.vue,components,,a,simple,1,0.123,305,16,2,0,2,1.0,0,2,2,0,2,,2026-07-31T08:27:31.708777
7.json,7-a.vue,components,,a,simple,1,0.1211,203,13,4,0,4,1.0,0,2,1,0,2,,2026-07-31T08:27:31.711778
8.json,8-a.vue,components,,a,simple,1,0.1669,404,19,2,0,2,1.0,0,2,2,1,2,,2026-07-31T08:27:31.714780
9.json,9-a.vue,components,,a,simple,1,0.2397,963,45,6,0,6,1.0,0,5,2,3,3,,2026-07-31T08:27:31.718778
