input,output,type,variant,prompt_strategy,temperature,reasoning_effort,image_detail,strategy,complexity,provider,model,model_reported,run,attempt,generation_id,context_tokens,context_components,duration,input_tokens,output_tokens,total_tokens,cached_tokens,cache_write_tokens,reasoning_tokens,cost_usd,cost_prompt_usd,cost_completion_usd,extraction_ok,parse_ok,truncated,sfc_bytes,sfc_lines,stop_reason,native_finish_reason,refusal,error,created_at
messy-1,1-b1-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,,b1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785393082-lA0nGf6ds9gJrRCj3Cft,0,0,29638.7858,80898,3388,84286,0,8125,61,0.1997385,0.1658585,0.03388,True,True,False,7923,237,stop,end_turn,,,2026-07-30T08:31:51.535643
messy-2,2-b1-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,,b1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785393110-raE9q0TKzpHPZbAXR1T5,0,0,12784.8475,20207,1483,21690,8125,0,0,0.040619,0.025789,0.01483,True,True,False,4103,110,stop,end_turn,,,2026-07-30T08:32:04.330492
messy-3,3-b1-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,,b1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785393123-OgcdZD08XvzlUocrArPX,0,0,16977.9091,44364,2154,46518,8125,0,0,0.095643,0.074103,0.02154,True,True,False,5216,157,stop,end_turn,,,2026-07-30T08:32:21.340868
messy-4,4-b1-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,,b1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785393141-bfbOYRiuGTAVQ13GSJHw,0,0,17249.4261,34989,1901,36890,8125,0,60,0.074363,0.055353,0.01901,True,True,False,4642,131,stop,end_turn,,,2026-07-30T08:32:38.610319
messy-5,5-b1-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,,b1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785393157-HYNIGOkVLgF8ZyYoSpKu,0,0,22057.1554,52105,2372,54477,8125,0,63,0.113305,0.089585,0.02372,True,True,False,5328,148,stop,end_turn,,,2026-07-30T08:33:00.696495
messy-1,1-b2-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,,b2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785393180-qBONCyYhVXmF93PQNnBn,18072,3,25511.3368,108308,2631,110939,8125,27412,47,0.242007,0.215697,0.02631,True,True,False,6126,156,stop,end_turn,,,2026-07-30T08:33:26.252737
messy-2,2-b2-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,,b2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785393205-gq9fM9RopGN5vqUaGOfN,0,0,13401.6809,20207,1336,21543,8125,0,0,0.039149,0.025789,0.01336,True,True,False,3559,97,stop,end_turn,,,2026-07-30T08:33:39.667404
messy-3,3-b2-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,,b2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785393218-YmTPJhEP3WojLRulgli9,0,0,18510.788,44364,2257,46621,8125,0,0,0.096673,0.074103,0.02257,True,True,False,5521,188,stop,end_turn,,,2026-07-30T08:33:58.202713
messy-4,4-b2-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,,b2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785393237-3IomCfgDTMLJm31WvNuS,0,0,16161.0422,34989,1890,36879,8125,0,49,0.074253,0.055353,0.0189,True,True,False,4535,132,stop,end_turn,,,2026-07-30T08:34:14.382922
messy-5,5-b2-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,,b2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785393253-sISv76TDQleb9WAyDvfb,0,0,20465.5163,52105,2527,54632,8125,0,150,0.114855,0.089585,0.02527,True,True,False,5489,143,stop,end_turn,,,2026-07-30T08:34:34.877417
