input,output,type,variant,prompt_strategy,temperature,reasoning_effort,image_detail,strategy,complexity,provider,model,model_reported,run,attempt,generation_id,context_tokens,context_components,duration,input_tokens,output_tokens,total_tokens,cached_tokens,cache_write_tokens,reasoning_tokens,cost_usd,cost_prompt_usd,cost_completion_usd,extraction_ok,parse_ok,truncated,sfc_bytes,sfc_lines,stop_reason,native_finish_reason,refusal,error,created_at
messy-1,1-b1-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,,b1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785387922-2N1qS8sbkUqAMGOoA16w,0,0,23858.587,73455,3001,76456,0,0,66,0.17692,0.14691,0.03001,True,True,False,6867,175,stop,end_turn,,,2026-07-30T07:05:47.268499
messy-2,2-b1-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,,b1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785387946-DkI6rWLgwLHflwbNifxl,0,0,10702.9607,12764,1280,14044,0,0,0,0.038328,0.025528,0.0128,True,True,False,3314,95,stop,end_turn,,,2026-07-30T07:05:57.988408
messy-3,3-b1-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,,b1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785387957-eITI2fJm53EUWPqy9hLb,0,0,16458.3614,36921,2135,39056,0,0,0,0.095192,0.073842,0.02135,True,True,False,4824,173,stop,end_turn,,,2026-07-30T07:06:14.475465
messy-4,4-b1-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,,b1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785387973-qBcFZkglAD82sTqUJZT1,0,0,16624.2199,27546,2132,29678,0,0,139,0.076412,0.055092,0.02132,True,True,False,4938,147,stop,end_turn,,,2026-07-30T07:06:31.118253
messy-5,5-b1-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,,b1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785387990-83Y2BwAsFyklqMBNu503,0,0,19678.916,44662,2216,46878,0,0,0,0.111484,0.089324,0.02216,True,True,False,5270,160,stop,end_turn,,,2026-07-30T07:06:50.825780
messy-1,1-b2-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,,b2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785412644-X6eoN9R00ZYVnIwbHa4b,0,0,25484.6363,62490,2863,65353,0,0,67,0.15361,0.12498,0.02863,True,True,False,6183,165,stop,end_turn,,,2026-07-30T13:57:49.535947
messy-2,2-b2-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,,b2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785388030-qyHaOfpNRWJE6M064wpr,0,0,10221.858,12764,1243,14007,0,0,0,0.037958,0.025528,0.01243,True,True,False,3187,94,stop,end_turn,,,2026-07-30T07:07:21.439563
messy-3,3-b2-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,,b2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785388040-ynTckzSFcYPzt9txFgYY,0,0,17088.3913,36921,2089,39010,0,0,0,0.094732,0.073842,0.02089,True,True,False,4845,162,stop,end_turn,,,2026-07-30T07:07:38.544973
messy-4,4-b2-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,,b2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785388058-tkUQMQWiPFVXL8u5TXLD,0,0,20004.6556,27546,2177,29723,0,0,0,0.076862,0.055092,0.02177,True,True,False,5570,172,stop,end_turn,,,2026-07-30T07:07:58.560654
messy-5,5-b2-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,,b2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785388078-nuNzhGSfg6yivv43PPr5,0,0,19181.2119,44662,2175,46837,0,0,0,0.111074,0.089324,0.02175,True,True,False,5372,158,stop,end_turn,,,2026-07-30T07:08:17.764879
messy-1,1-b3-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,,b3,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785412669-waHIPudVcz6oavDq4kYo,0,0,27487.7465,62490,3125,65615,0,0,72,0.15623,0.12498,0.03125,True,True,False,7083,224,stop,end_turn,,,2026-07-30T13:58:17.039197
messy-2,2-b3-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,,b3,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785388124-bLBMjVQMQasU5KqTN3Nm,0,0,11080.0214,12764,1261,14025,0,0,0,0.038138,0.025528,0.01261,True,True,False,3256,94,stop,end_turn,,,2026-07-30T07:08:56.407511
messy-3,3-b3-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,,b3,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785388135-w6WjOKxF4a4FbufYIzf7,0,0,16760.5383,36921,2133,39054,0,0,63,0.095172,0.073842,0.02133,True,True,False,4644,162,stop,end_turn,,,2026-07-30T07:09:13.184055
messy-4,4-b3-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,,b3,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785388152-FbqDHeHQCmZxmcpSONhs,0,0,15802.3891,27546,1979,29525,0,0,0,0.074882,0.055092,0.01979,True,True,False,4901,150,stop,end_turn,,,2026-07-30T07:09:29.019443
messy-5,5-b3-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,,b3,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785388168-UWPo8PM0WBXqpIyuaQde,0,0,25129.3914,44662,2520,47182,0,0,73,0.114524,0.089324,0.0252,True,True,False,5898,175,stop,end_turn,,,2026-07-30T07:09:54.172826
