input,output,type,variant,prompt_strategy,temperature,reasoning_effort,image_detail,strategy,complexity,provider,model,model_reported,run,attempt,generation_id,context_tokens,context_components,duration,input_tokens,output_tokens,total_tokens,cached_tokens,cache_write_tokens,reasoning_tokens,cost_usd,cost_prompt_usd,cost_completion_usd,extraction_ok,parse_ok,truncated,sfc_bytes,sfc_lines,stop_reason,native_finish_reason,refusal,error,created_at
pretty-1,1-b1-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,,b1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785394939-t8jxSFHkdh6oRt81heBi,0,0,30344.4858,106966,2673,109639,0,8125,0,0.2447245,0.2179945,0.02673,True,True,False,6586,153,stop,end_turn,,,2026-07-30T09:02:50.283359
pretty-2,2-b1-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,,b1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785394969-By9KvtQwxxJCeGW6TezS,0,0,14319.247,27530,1308,28838,8125,0,0,0.053515,0.040435,0.01308,True,True,False,3452,97,stop,end_turn,,,2026-07-30T09:03:04.615184
pretty-3,3-b1-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,,b1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785394983-ONp607pBMtgcyqySTzxi,0,0,21305.6934,64365,2251,66616,8125,0,0,0.136615,0.114105,0.02251,True,True,False,5447,155,stop,end_turn,,,2026-07-30T09:03:25.959074
pretty-4,4-b1-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,,b1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785395005-sZDv3FKZs2GfoQu1j0JK,0,0,21232.2767,50182,2015,52197,8125,0,50,0.105889,0.085739,0.02015,True,True,False,4908,137,stop,end_turn,,,2026-07-30T09:03:47.215374
pretty-5,5-b1-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,,b1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785395027-ZZH3xy5rOFZvY790eYh6,0,0,20077.6608,78806,2032,80838,8125,0,0,0.163307,0.142987,0.02032,True,True,False,5160,142,stop,end_turn,,,2026-07-30T09:04:07.328044
pretty-1,1-b2-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,,b2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785395046-AW7crbKLd5wyLuzlKCID,50699,6,28697.037,182716,2727,185443,8125,75752,44,0.415953,0.388683,0.02727,True,True,False,6578,153,stop,end_turn,,,2026-07-30T09:04:36.071804
pretty-2,2-b2-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,,b2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785395075-E8RRY1JywaZtBojyrGC9,36312,5,14413.0931,85004,1311,86315,8125,57476,0,0.197231,0.184121,0.01311,True,True,False,3250,93,stop,end_turn,,,2026-07-30T09:04:50.501892
pretty-3,3-b2-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,,b2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785395091-XeUf76SsfOM0gkhNULX9,58148,6,31663.9342,150984,1992,152976,0,94746,0,0.369261,0.349341,0.01992,True,True,False,4845,134,stop,end_turn,,,2026-07-30T09:05:22.197345
pretty-4,4-b2-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,,b2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785395121-7ahMNQIFCJIFAtBNaU54,63638,7,29619.3259,145799,1903,147702,8125,95619,58,0.3438125,0.3247825,0.01903,True,True,False,4607,119,stop,end_turn,,,2026-07-30T09:05:51.842723
pretty-5,5-b2-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,,b2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785395151-p6pCQDOtuIEBjUPAeDBX,68756,9,22874.8612,183723,2030,185753,8125,104919,0,0.4255805,0.4052805,0.0203,True,True,False,5143,130,stop,end_turn,,,2026-07-30T09:06:14.760577
pretty-1,1-b3-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,,b3,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785395174-L4SkSeJx92UXpURHQDnw,9752,6,31531.5719,121690,2816,124506,8125,14726,99,0.264278,0.236118,0.02816,True,True,False,6789,157,stop,end_turn,,,2026-07-30T09:06:46.323120
pretty-2,2-b3-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,,b3,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785395206-5o8qcOtIvksSJR2YSyGy,7616,5,16879.7486,39252,1377,40629,8125,11724,0,0.083511,0.069741,0.01377,True,True,False,3653,94,stop,end_turn,,,2026-07-30T09:07:03.218907
pretty-3,3-b3-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,,b3,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785395222-JfvL3EZ4A34SFQ4zCo24,12966,6,21679.5492,83691,2184,85875,8125,19328,0,0.184261,0.162421,0.02184,True,True,False,5253,164,stop,end_turn,,,2026-07-30T09:07:24.937031
pretty-4,4-b3-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,,b3,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785395244-Mz7kpH8GLwOR4MCAxj8B,13610,7,19212.0626,70578,1978,72556,8125,20398,12,0.15651,0.13673,0.01978,True,True,False,4940,122,stop,end_turn,,,2026-07-30T09:07:44.180092
pretty-5,5-b3-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,,b3,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785395264-jbEZIepy5nY8nz8IKzzv,17880,9,27666.7602,105411,1937,107348,8125,26607,0,0.2288705,0.2095005,0.01937,True,True,False,4907,126,stop,end_turn,,,2026-07-30T09:08:11.869867
pretty-1,1-b1-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,,b1,pretty,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785395291-IQ8dHrx9s1xrrTT7qzDR,0,0,24073.6473,67016,2527,69543,0,0,471,0.205445,0.16754,0.037905,True,True,False,9088,272,stop,completed,,,2026-07-30T09:08:35.962546
pretty-2,2-b1-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,,b1,pretty,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785395315-hLGI0av94ZJyNKwhFcEs,0,0,12616.2338,17251,1280,18531,0,0,348,0.0623275,0.0431275,0.0192,True,True,False,3841,109,stop,completed,,,2026-07-30T09:08:48.598970
pretty-3,3-b1-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,,b1,pretty,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785395327-ob39nCq6aBlGo0lp7HhS,0,0,22289.3114,41588,2340,43928,0,0,516,0.13907,0.10397,0.0351,True,True,False,7168,246,stop,completed,,,2026-07-30T09:09:10.925791
pretty-4,4-b1-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,,b1,pretty,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785395350-rgmddq9SzEVB1pi5TVdU,0,0,16456.7299,32197,1746,33943,0,0,390,0.1066825,0.0804925,0.02619,True,True,False,5215,149,stop,completed,,,2026-07-30T09:09:27.405532
pretty-5,5-b1-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,,b1,pretty,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785395366-xhTj2AM4VmfPBjRKzJNL,0,0,19351.8541,48872,2054,50926,0,0,457,0.15299,0.12218,0.03081,True,True,False,6576,179,stop,completed,,,2026-07-30T09:09:46.793114
pretty-1,1-b2-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,,b2,pretty,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785395386-hd89GH5o8mBXOHd88gZy,50699,6,28704.9863,114228,2268,116496,0,0,246,0.31959,0.28557,0.03402,True,True,False,8647,274,stop,completed,,,2026-07-30T09:10:15.539091
pretty-2,2-b2-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,,b2,pretty,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785395414-Ad0MEFZYuXVNAAhs2pHO,36312,5,15650.4812,53311,1493,54804,0,0,516,0.1556725,0.1332775,0.022395,True,True,False,3885,117,stop,completed,,,2026-07-30T09:10:31.205562
pretty-3,3-b2-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,,b2,pretty,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785395430-qN7J1tfzi7jhamII3d5h,58148,6,29253.5799,97577,2665,100242,4864,0,881,0.2729735,0.2329985,0.039975,True,True,False,6755,238,stop,completed,,,2026-07-30T09:11:00.491307
pretty-4,4-b2-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,,b2,pretty,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785395459-pYMWMzgBI14uZ5ZuM0hB,63638,7,22607.7528,93229,2241,95470,0,0,639,0.2666875,0.2330725,0.033615,True,True,False,6569,196,stop,completed,,,2026-07-30T09:11:23.125078
pretty-5,5-b2-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,,b2,pretty,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785395482-ej2C9SdR8isOQmEfRwo2,68756,9,20215.3549,116583,2265,118848,4864,0,512,0.3144885,0.2805135,0.033975,True,True,False,7163,218,stop,completed,,,2026-07-30T09:11:43.379030
pretty-1,1-b3-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,,b3,pretty,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785395502-81kIRQ1DXTcpA8eQQMKD,9752,6,20970.907,76720,2679,79399,0,76717,511,0.1399665625,0.1198740625,0.0200925,True,True,False,9113,231,stop,completed,,,2026-07-30T09:12:04.391491
pretty-2,2-b3-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,,b3,pretty,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785395523-CLFN0m8uf9cxcN8J9Ky7,7616,5,21900.7885,25074,1443,26517,4864,0,516,0.073386,0.051741,0.021645,True,True,False,3717,112,stop,completed,,,2026-07-30T09:12:26.307278
pretty-3,3-b3-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,,b3,pretty,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785395546-BdTPXupcb9cFi4YRquRy,12966,6,20597.415,54922,2230,57152,4864,0,516,0.159811,0.126361,0.03345,True,True,False,6614,229,stop,completed,,,2026-07-30T09:12:46.948986
pretty-4,4-b3-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,,b3,pretty,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785395566-1bxD6GTcbLKebDx8ZaBI,13610,7,25684.546,46142,2561,48703,4864,0,1034,0.142826,0.104411,0.038415,True,True,False,5906,184,stop,completed,,,2026-07-30T09:13:12.665131
pretty-5,5-b3-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,,b3,pretty,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785395591-7JM8hGeERA4AIJkZwJYH,17880,9,19154.3541,67366,2051,69417,4864,0,395,0.188236,0.157471,0.030765,True,True,False,6761,202,stop,completed,,,2026-07-30T09:13:31.846161
pretty-1,1-b1-gemini-3.1-pro-preview-1.vue,uis,pretty,few_shot,0.0,medium,,b1,pretty,Google,gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,1,1,gen-1785395611-EQV3koCE7SGtFYoQLIMx,0,0,57216.0196,86271,6896,93167,5960,5960,4535,0.246801,0.164049,0.082752,True,True,False,8036,243,stop,STOP,,,2026-07-30T09:14:29.093172
pretty-2,2-b1-gemini-3.1-pro-preview-1.vue,uis,pretty,few_shot,0.0,medium,,b1,pretty,Google,gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,1,1,gen-1785395668-SugR45hSbH7qyHEh4GQ0,0,0,26327.8573,21398,3681,25079,5960,0,2656,0.07624,0.032068,0.044172,True,True,False,3478,89,stop,STOP,,,2026-07-30T09:14:55.436554
pretty-3,3-b1-gemini-3.1-pro-preview-1.vue,uis,pretty,few_shot,0.0,medium,,b1,pretty,Google,gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,1,1,gen-1785395694-oilExPO4dhWgTHSQfyVS,0,0,35126.2074,50980,4017,54997,5960,0,2265,0.139436,0.091232,0.048204,True,True,False,5670,189,stop,STOP,,,2026-07-30T09:15:30.601461
