input,output,type,variant,prompt_strategy,temperature,reasoning_effort,image_detail,strategy,complexity,provider,model,model_reported,run,attempt,generation_id,context_tokens,context_components,duration,input_tokens,output_tokens,total_tokens,cached_tokens,cache_write_tokens,reasoning_tokens,cost_usd,cost_prompt_usd,cost_completion_usd,extraction_ok,parse_ok,truncated,sfc_bytes,sfc_lines,stop_reason,native_finish_reason,refusal,error,created_at
pretty-1,1-b1-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,,b1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785389823-kQ1R7WK0h1raD3shtnhP,0,0,25626.5855,99523,3374,102897,0,0,0,0.232786,0.199046,0.03374,True,True,False,8925,284,stop,end_turn,,,2026-07-30T07:37:29.017121
pretty-2,2-b1-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,,b1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785389848-SurSTTpiYAMuP9CtrVES,0,0,15231.4119,20087,1382,21469,0,0,0,0.053994,0.040174,0.01382,True,True,False,3658,101,stop,end_turn,,,2026-07-30T07:37:44.261070
pretty-3,3-b1-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,,b1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785389863-ZIHGIGvlb3WEiq4octMa,0,0,18924.7613,56922,2251,59173,0,0,91,0.136354,0.113844,0.02251,True,True,False,4779,168,stop,end_turn,,,2026-07-30T07:38:03.227979
pretty-4,4-b1-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,,b1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785389882-AubC9O89H0Li87EFigan,0,0,19515.2218,42739,2291,45030,0,0,89,0.108388,0.085478,0.02291,True,True,False,5091,137,stop,end_turn,,,2026-07-30T07:38:22.766205
pretty-5,5-b1-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,,b1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785389902-TPXVC4TXnM3uvOdl1LEp,0,0,19837.7337,71363,2597,73960,0,0,0,0.168696,0.142726,0.02597,True,True,False,6345,184,stop,end_turn,,,2026-07-30T07:38:42.635503
pretty-1,1-b2-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,,b2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785389922-TuoHnjRQlm5seAfSeZGA,50699,6,24111.8381,175273,3052,178325,0,76434,97,0.419283,0.388763,0.03052,True,True,False,7491,172,stop,end_turn,,,2026-07-30T07:39:06.800472
pretty-2,2-b2-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,,b2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785389946-zUNeAK4ctOYjSM6L6R3Y,36312,5,11294.3399,77561,1313,78874,0,58158,0,0.197331,0.184201,0.01313,True,True,False,3372,99,stop,end_turn,,,2026-07-30T07:39:18.105348
pretty-3,3-b2-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,,b2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785389957-L66FoDiqpyStME6RDhQ2,58148,6,19895.5035,143541,2238,145779,0,87303,53,0.3531135,0.3307335,0.02238,True,True,False,5275,160,stop,end_turn,,,2026-07-30T07:39:38.034866
pretty-4,4-b2-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,,b2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785389977-goJqzNJ0bIT4m2xWYZyN,63638,7,23116.8027,138356,2259,140615,0,96301,99,0.3474525,0.3248625,0.02259,True,True,False,5158,139,stop,end_turn,,,2026-07-30T07:40:01.177690
pretty-5,5-b2-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,,b2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785390000-5HqbBV5gfp65Za83wAOG,68756,9,20022.1772,176280,2367,178647,0,105601,0,0.4290305,0.4053605,0.02367,True,True,False,5860,171,stop,end_turn,,,2026-07-30T07:40:21.250366
