input,output,type,variant,prompt_strategy,temperature,reasoning_effort,image_detail,strategy,complexity,provider,model,model_reported,run,attempt,generation_id,context_tokens,context_components,duration,input_tokens,output_tokens,total_tokens,cached_tokens,cache_write_tokens,reasoning_tokens,cost_usd,cost_prompt_usd,cost_completion_usd,extraction_ok,parse_ok,truncated,sfc_bytes,sfc_lines,stop_reason,native_finish_reason,refusal,error,created_at
messy-1,1-c1-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,auto,c1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785415989-RsDvClTrZuXPxsETui18,0,0,23894.2022,8574,2896,11470,0,5837,24,0.0490265,0.0200665,0.02896,True,True,False,7458,246,stop,end_turn,,,2026-07-30T14:53:33.299705
messy-2,2-c1-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,auto,c1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785416013-rjBtlY9Z6x7I2LPLC0ix,0,0,12294.7099,8574,1239,9813,5837,0,0,0.0190314,0.0066414,0.01239,True,True,False,3158,100,stop,end_turn,,,2026-07-30T14:53:45.598392
messy-3,3-c1-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,auto,c1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785416025-kndGqkEVsXuW0VSxemXl,0,0,19078.0702,8574,2312,10886,5837,0,14,0.0297614,0.0066414,0.02312,True,True,False,5548,193,stop,end_turn,,,2026-07-30T14:54:04.684539
messy-4,4-c1-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,auto,c1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785416044-WlppmU51oZVcPBj6t9g5,0,0,16654.9618,8574,1624,10198,5837,0,12,0.0228814,0.0066414,0.01624,True,True,False,3938,110,stop,end_turn,,,2026-07-30T14:54:21.343468
messy-5,5-c1-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,auto,c1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785416061-7yzV4cElPVKicLfP1DMt,0,0,15892.6692,8574,1811,10385,5837,0,24,0.0247514,0.0066414,0.01811,True,True,False,4340,127,stop,end_turn,,,2026-07-30T14:54:37.240137
messy-1,1-c2-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,auto,c2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785416077-TEFzPAmwt7IytgE5vu2L,0,0,23082.592,8574,2922,11496,5837,0,16,0.0358614,0.0066414,0.02922,True,True,False,7254,184,stop,end_turn,,,2026-07-30T14:55:00.328697
messy-2,2-c2-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,auto,c2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785416100-WsFZQYIbH0oRIyIr5Zpm,0,0,11319.7079,8574,1134,9708,5837,0,0,0.0179814,0.0066414,0.01134,True,True,False,2844,83,stop,end_turn,,,2026-07-30T14:55:11.652375
messy-3,3-c2-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,auto,c2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785416111-0U0n8zrQ9ApZcLfnzGF7,0,0,19625.6502,8574,2367,10941,5837,0,12,0.0303114,0.0066414,0.02367,True,True,False,5688,194,stop,end_turn,,,2026-07-30T14:55:31.282558
messy-4,4-c2-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,auto,c2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785416131-7PW3EH3krd0vIQlAqSmt,0,0,15968.0097,8574,1558,10132,5837,0,12,0.0222214,0.0066414,0.01558,True,True,False,3759,108,stop,end_turn,,,2026-07-30T14:55:47.258575
messy-5,5-c2-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,auto,c2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785416147-ZEVi6AWtK1LwzoqHagUz,0,0,16017.5405,8574,1731,10305,5837,0,31,0.0239514,0.0066414,0.01731,True,True,False,4387,125,stop,end_turn,,,2026-07-30T14:56:03.290149
