input,output,type,variant,prompt_strategy,temperature,reasoning_effort,image_detail,strategy,complexity,provider,model,model_reported,run,attempt,generation_id,context_tokens,context_components,duration,input_tokens,output_tokens,total_tokens,cached_tokens,cache_write_tokens,reasoning_tokens,cost_usd,cost_prompt_usd,cost_completion_usd,extraction_ok,parse_ok,truncated,sfc_bytes,sfc_lines,stop_reason,native_finish_reason,refusal,error,created_at
messy-1,1-c1-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,c1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414517-Cf4PvUNupgzp5o2d2S3Q,0,0,24513.232,3665,2650,6315,0,0,14,0.03383,0.00733,0.0265,True,True,False,6713,175,stop,end_turn,,,2026-07-30T14:29:01.619138
messy-2,2-c1-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,c1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414541-OIK8Y1gaoXg3M1qmyTCL,0,0,13315.4492,3665,1261,4926,0,0,0,0.01994,0.00733,0.01261,True,True,False,3291,90,stop,end_turn,,,2026-07-30T14:29:14.939568
messy-3,3-c1-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,c1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414555-Wpx46Nw0fjtaMFXCIVqm,0,0,17566.1421,3665,2233,5898,0,0,0,0.02966,0.00733,0.02233,True,True,False,5156,185,stop,end_turn,,,2026-07-30T14:29:32.510696
messy-4,4-c1-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,c1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414572-yA6UvRguSKDYEzpwYdl2,0,0,15405.2272,3665,1862,5527,0,0,0,0.02595,0.00733,0.01862,True,True,False,4452,126,stop,end_turn,,,2026-07-30T14:29:47.918907
messy-5,5-c1-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,c1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414588-vJjxhqkrUTVLx3wG8y5a,0,0,17417.8379,3665,1989,5654,0,0,0,0.02722,0.00733,0.01989,True,True,False,4770,120,stop,end_turn,,,2026-07-30T14:30:05.338717
messy-1,1-c2-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,c2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414605-OUdmD01Moivjio1tsBfq,0,0,24132.9753,3665,2720,6385,0,0,44,0.03453,0.00733,0.0272,True,True,False,6521,160,stop,end_turn,,,2026-07-30T14:30:29.476718
messy-2,2-c2-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,c2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414629-O68Ow8B6k7o3PFUn6QE7,0,0,14712.702,3665,1349,5014,0,0,0,0.02082,0.00733,0.01349,True,True,False,3401,95,stop,end_turn,,,2026-07-30T14:30:44.192418
messy-3,3-c2-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,c2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414644-luPJ7WAylGnGj8es9VSM,0,0,19064.677,3665,2312,5977,0,0,47,0.03045,0.00733,0.02312,True,True,False,5373,187,stop,end_turn,,,2026-07-30T14:31:03.266935
messy-4,4-c2-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,c2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414663-A0CHzVgDOGkwqG31iQr5,0,0,17808.635,3665,1881,5546,0,0,0,0.02614,0.00733,0.01881,True,True,False,4376,126,stop,end_turn,,,2026-07-30T14:31:21.081961
messy-5,5-c2-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,c2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414681-dD8nHmeXhmEpJCBGVe6V,0,0,16653.6207,3665,1779,5444,0,0,0,0.02512,0.00733,0.01779,True,True,False,4241,122,stop,end_turn,,,2026-07-30T14:31:37.739575
messy-1,1-c3-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,c3,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414697-gXPBcOPYAYPYMfmfIANY,0,0,25154.4745,3665,2708,6373,0,0,16,0.03441,0.00733,0.02708,True,True,False,6554,150,stop,end_turn,,,2026-07-30T14:32:02.898052
messy-2,2-c3-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,c3,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414722-7VCVyGCIXL774PQcGyHD,0,0,14298.5001,3665,1382,5047,0,0,0,0.02115,0.00733,0.01382,True,True,False,3539,107,stop,end_turn,,,2026-07-30T14:32:17.199558
messy-3,3-c3-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,c3,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414737-CUFCjeBZxg4N8BZcThKI,0,0,17170.3382,3665,2063,5728,0,0,0,0.02796,0.00733,0.02063,True,True,False,4791,138,stop,end_turn,,,2026-07-30T14:32:34.372899
messy-4,4-c3-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,c3,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414754-UbD3a0EZf1W0QsRtCje4,0,0,16390.0247,3665,1810,5475,0,0,0,0.02543,0.00733,0.0181,True,True,False,4316,124,stop,end_turn,,,2026-07-30T14:32:50.767912
messy-5,5-c3-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,c3,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414770-ZVkZK6T0ofaIyBbqPCqL,0,0,15623.7285,3665,1687,5352,0,0,0,0.0242,0.00733,0.01687,True,True,False,4002,111,stop,end_turn,,,2026-07-30T14:33:06.397673
messy-1,1-c1-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,c1,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785414786-gW2vfHkAwXrg3zKeiZaL,0,0,24942.0938,1810,2724,4534,0,0,516,0.045385,0.004525,0.04086,True,True,False,7878,178,stop,completed,,,2026-07-30T14:33:31.343766
messy-2,2-c1-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,c1,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785414811-XttfhKr1aV23ydokT79j,0,0,15238.6713,1810,1514,3324,0,0,516,0.027235,0.004525,0.02271,True,True,False,3961,123,stop,completed,,,2026-07-30T14:33:46.590229
messy-3,3-c1-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,c1,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785414826-Smq5J73V1AxrlQOAVDbZ,0,0,20862.7667,1810,2115,3925,0,0,516,0.03625,0.004525,0.031725,True,True,False,5934,196,stop,completed,,,2026-07-30T14:34:07.457226
messy-4,4-c1-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,c1,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785414847-WV1dCKYli5wNCtz2OFnO,0,0,20483.6671,1810,2314,4124,0,0,497,0.039235,0.004525,0.03471,True,True,False,6445,185,stop,completed,,,2026-07-30T14:34:27.943896
