input,output,type,variant,prompt_strategy,temperature,reasoning_effort,image_detail,strategy,complexity,provider,model,model_reported,run,attempt,generation_id,context_tokens,context_components,duration,input_tokens,output_tokens,total_tokens,cached_tokens,cache_write_tokens,reasoning_tokens,cost_usd,cost_prompt_usd,cost_completion_usd,extraction_ok,parse_ok,truncated,sfc_bytes,sfc_lines,stop_reason,native_finish_reason,refusal,error,created_at
pretty-1,1-c1-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,c1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785409785-HFcpBJ8LrdSeXe00VN9W,0,0,25080.8849,8574,3008,11582,0,5837,15,0.0501465,0.0200665,0.03008,True,True,False,7690,248,stop,end_turn,,,2026-07-30T13:10:10.211787
pretty-2,2-c1-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,c1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785409810-LNmrl4rIvwqAr28FOU3N,0,0,12517.133,8574,1206,9780,5837,0,0,0.0187014,0.0066414,0.01206,True,True,False,3018,93,stop,end_turn,,,2026-07-30T13:10:22.747071
pretty-3,3-c1-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,c1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785409823-21t5Mhm0maaQVEqMt5bW,0,0,20568.5642,8574,2410,10984,5837,0,11,0.0307414,0.0066414,0.0241,True,True,False,5835,200,stop,end_turn,,,2026-07-30T13:10:43.319607
pretty-4,4-c1-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,c1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785409843-6wHeqcMoAjX97BbP2FwG,0,0,14989.6293,8574,1611,10185,5837,0,12,0.0227514,0.0066414,0.01611,True,True,False,3863,104,stop,end_turn,,,2026-07-30T13:10:58.312917
pretty-5,5-c1-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,c1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785409858-NS6vlP8QuHSCAMuQxxI3,0,0,15721.926,8574,1664,10238,5837,0,15,0.0232814,0.0066414,0.01664,True,True,False,3978,113,stop,end_turn,,,2026-07-30T13:11:14.040312
pretty-1,1-c2-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,c2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785409874-12R5uuy5okgKc7sz37IT,50699,6,24311.7099,84325,2754,87079,5837,75752,15,0.2235594,0.1960194,0.02754,True,True,False,7092,178,stop,end_turn,,,2026-07-30T13:11:38.356985
pretty-2,2-c2-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,c2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785409898-EVftrBlep4BzslQXE6Z2,36312,5,11955.7281,66049,1181,67230,5837,57476,0,0.1621394,0.1503294,0.01181,True,True,False,2932,89,stop,end_turn,,,2026-07-30T13:11:50.316731
pretty-3,3-c2-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,c2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785409910-zFqb9yGYzTsCGrTTZlYC,58148,6,20719.6429,95194,2144,97338,5837,86621,10,0.2446319,0.2231919,0.02144,True,True,False,4973,138,stop,end_turn,,,2026-07-30T13:12:11.041392
pretty-4,4-c2-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,c2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785409931-ANDnUTFVOG3roSqO5hSR,63638,7,17165.9288,104192,1763,105955,5837,95619,12,0.2633169,0.2456869,0.01763,True,True,False,4269,126,stop,end_turn,,,2026-07-30T13:12:28.214326
pretty-5,5-c2-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,c2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785409948-tsPTAEfgOJdQryIbNzOL,68756,9,16153.667,113492,1703,115195,5837,104919,0,0.2859669,0.2689369,0.01703,True,True,False,4181,113,stop,end_turn,,,2026-07-30T13:12:44.381636
pretty-1,1-c3-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,c3,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785409964-S7eZmp8ETATOywfVtO8F,9752,6,22919.5426,23299,2837,26136,5837,14726,11,0.0718244,0.0434544,0.02837,True,True,False,6925,163,stop,end_turn,,,2026-07-30T13:13:07.306781
pretty-2,2-c3-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,c3,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785409988-WVcpkf9BEgVlXXnhkjbK,7616,5,13514.6191,20297,1165,21462,5837,11724,0,0.0475994,0.0359494,0.01165,True,True,False,2954,87,stop,end_turn,,,2026-07-30T13:13:20.824898
pretty-3,3-c3-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,c3,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785410001-xHGe5LEinYbTLB3lWmNM,12966,6,18387.275,27901,2135,30036,5837,19328,16,0.0763094,0.0549594,0.02135,True,True,False,5040,140,stop,end_turn,,,2026-07-30T13:13:39.220987
pretty-4,4-c3-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,c3,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785410019-Jq3ULMb8ux5LgFnMcRfC,13610,7,16039.7844,28971,1750,30721,5837,20398,12,0.0751344,0.0576344,0.0175,True,True,False,4248,117,stop,end_turn,,,2026-07-30T13:13:55.264296
pretty-5,5-c3-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,c3,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785410035-Hiem4DPx46vpGFmQXLYO,17880,9,15766.1219,35180,1651,36831,5837,26607,30,0.0896669,0.0731569,0.01651,True,True,False,3892,93,stop,end_turn,,,2026-07-30T13:14:11.034988
pretty-1,1-c1-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,auto,c1,pretty,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785410051-U2PWKojxhDAMr66aXZh0,0,0,14627.9857,6918,2060,8978,0,6915,124,0.0262584375,0.0108084375,0.01545,True,True,False,7332,189,stop,completed,,,2026-07-30T13:14:25.669270
pretty-2,2-c1-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,auto,c1,pretty,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785410065-nr5AG2rO2O9RnWNaRvCf,0,0,12887.1963,6918,1197,8115,0,6915,257,0.0197859375,0.0108084375,0.0089775,True,True,False,3621,118,stop,completed,,,2026-07-30T13:14:38.562509
