input,output,type,variant,prompt_strategy,temperature,reasoning_effort,image_detail,strategy,complexity,provider,model,model_reported,run,attempt,generation_id,context_tokens,context_components,duration,input_tokens,output_tokens,total_tokens,cached_tokens,cache_write_tokens,reasoning_tokens,cost_usd,cost_prompt_usd,cost_completion_usd,extraction_ok,parse_ok,truncated,sfc_bytes,sfc_lines,stop_reason,native_finish_reason,refusal,error,created_at
pretty-1,1-c1-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,auto,c1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785405033-uj26In4DWAPomAOaLAhu,0,0,26510.3879,3665,2706,6371,0,0,14,0.03439,0.00733,0.02706,True,True,False,6933,180,stop,end_turn,,,2026-07-30T11:50:59.460640
pretty-2,2-c1-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,auto,c1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785405060-YASG7wijeY1BYxn1B2WJ,0,0,12762.0652,3665,1240,4905,0,0,0,0.01973,0.00733,0.0124,True,True,False,3061,96,stop,end_turn,,,2026-07-30T11:51:12.224712
pretty-3,3-c1-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,auto,c1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785405072-XmrbCQvqGboK43OlvSHd,0,0,19595.8335,3665,2294,5959,0,0,0,0.03027,0.00733,0.02294,True,True,False,5376,191,stop,end_turn,,,2026-07-30T11:51:31.825513
pretty-4,4-c1-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,auto,c1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785405092-bvZG9lNN19Ncvt8ckuJ7,0,0,18268.6172,3665,1815,5480,0,0,0,0.02548,0.00733,0.01815,True,True,False,4264,122,stop,end_turn,,,2026-07-30T11:51:50.097095
pretty-5,5-c1-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,auto,c1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785405110-10o0uF34VORiaWA8zk4Z,0,0,14924.9921,3665,1831,5496,0,0,0,0.02564,0.00733,0.01831,True,True,False,4379,107,stop,end_turn,,,2026-07-30T11:52:05.025116
pretty-1,1-c2-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,auto,c2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785405162-fVeu2cbO7E2v9mqG6UAT,50699,6,21254.5359,79416,2647,82063,76680,0,0,0.047278,0.020808,0.02647,True,True,False,6815,179,stop,end_turn,,,2026-07-30T11:53:03.433669
pretty-2,2-c2-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,auto,c2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785405183-fyoqQIVQ1VwAuNChZKE1,36312,5,12754.2384,61140,1262,62402,0,58404,0,0.164102,0.151482,0.01262,True,True,False,3310,86,stop,end_turn,,,2026-07-30T11:53:16.191621
pretty-3,3-c2-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,auto,c2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785405196-7tnx4Ps301gMU5cgmZlf,58148,6,20461.2017,90285,2100,92385,0,87549,0,0.2453445,0.2243445,0.021,True,True,False,5006,129,stop,end_turn,,,2026-07-30T11:53:36.656819
pretty-4,4-c2-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,auto,c2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785405217-EoM9mQEotmDi5bGE8scY,63638,7,18153.1603,99283,1830,101113,0,96547,0,0.2651395,0.2468395,0.0183,True,True,False,4432,122,stop,end_turn,,,2026-07-30T11:53:54.814988
pretty-5,5-c2-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,auto,c2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785405235-s5kZxn3N4iQAmxKXcX2K,68756,9,16883.6868,108583,1848,110431,0,105847,0,0.2885695,0.2700895,0.01848,True,True,False,4499,121,stop,end_turn,,,2026-07-30T11:54:11.706698
