input,output,type,variant,prompt_strategy,temperature,reasoning_effort,image_detail,strategy,complexity,provider,model,model_reported,run,attempt,generation_id,context_tokens,context_components,duration,input_tokens,output_tokens,total_tokens,cached_tokens,cache_write_tokens,reasoning_tokens,cost_usd,cost_prompt_usd,cost_completion_usd,extraction_ok,parse_ok,truncated,sfc_bytes,sfc_lines,stop_reason,native_finish_reason,refusal,error,created_at
messy-1,1-d1-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,auto,d1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785416241-TTSd26NT3XQGY9yLtyeG,0,0,27774.6816,75890,3078,78968,0,11378,52,0.188249,0.157469,0.03078,True,True,False,7614,236,stop,end_turn,,,2026-07-30T14:57:48.988055
messy-2,2-d1-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,auto,d1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785416269-ImUTV9vrWys33n0KQO6k,0,0,13398.2947,26164,1298,27462,11378,0,40,0.0448276,0.0318476,0.01298,True,True,False,3176,96,stop,end_turn,,,2026-07-30T14:58:02.393339
messy-3,3-d1-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,auto,d1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785416282-tlYns100ZvPbF8LhjoQi,0,0,18692.1365,50321,2236,52557,11378,0,0,0.1025216,0.0801616,0.02236,True,True,False,5338,178,stop,end_turn,,,2026-07-30T14:58:21.097474
messy-4,4-d1-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,auto,d1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785416301-XdTz63LtSxHxudlwPy1B,0,0,15932.4403,40946,1781,42727,11378,0,0,0.0792216,0.0614116,0.01781,True,True,False,4312,116,stop,end_turn,,,2026-07-30T14:58:37.039760
messy-5,5-d1-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,auto,d1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785416318-RbEELb6z0Z0NEkmnWh9T,0,0,19600.9037,58062,1931,59993,11378,0,0,0.1149536,0.0956436,0.01931,True,True,False,4626,121,stop,end_turn,,,2026-07-30T14:58:56.652203
messy-1,1-d2-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,auto,d2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785416336-ECyahuSL63ylMZZxb25l,0,0,26429.9355,75890,2880,78770,11378,0,61,0.1600996,0.1312996,0.0288,True,True,False,6892,179,stop,end_turn,,,2026-07-30T14:59:23.099158
messy-2,2-d2-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,auto,d2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785416363-mKpI99odKSR0LihsvapC,0,0,14004.6079,26164,1236,27400,11378,0,0,0.0442076,0.0318476,0.01236,True,True,False,3133,95,stop,end_turn,,,2026-07-30T14:59:37.110738
messy-3,3-d2-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,auto,d2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785416377-rgCQd10NebhouVSz57DU,0,0,22418.0229,50321,2359,52680,11378,0,0,0.1037516,0.0801616,0.02359,True,True,False,5692,196,stop,end_turn,,,2026-07-30T14:59:59.538779
messy-4,4-d2-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,auto,d2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785416399-iW4la3O7oC3VPMPAPmvP,0,0,15932.5016,40946,1664,42610,11378,0,0,0.0780516,0.0614116,0.01664,True,True,False,4078,111,stop,end_turn,,,2026-07-30T15:00:15.483279
messy-5,5-d2-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,auto,d2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785416416-naBlhZ0tIbMM6iSo5zB9,0,0,22667.0942,58062,2024,60086,11378,0,15,0.1158836,0.0956436,0.02024,True,True,False,4718,122,stop,end_turn,,,2026-07-30T15:00:38.163886
messy-1,1-d3-claude-sonnet-5-1.vue,uis,messy,few_shot,0.0,medium,auto,d3,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785416438-wpuThUSOpA5PAFosRH4O,0,0,25409.4772,75890,2904,78794,11378,0,67,0.1603396,0.1312996,0.02904,True,True,False,6879,183,stop,end_turn,,,2026-07-30T15:01:03.590921
