input,output,type,variant,prompt_strategy,temperature,reasoning_effort,image_detail,strategy,complexity,provider,model,model_reported,run,attempt,generation_id,context_tokens,context_components,duration,input_tokens,output_tokens,total_tokens,cached_tokens,cache_write_tokens,reasoning_tokens,cost_usd,cost_prompt_usd,cost_completion_usd,extraction_ok,parse_ok,truncated,sfc_bytes,sfc_lines,stop_reason,native_finish_reason,refusal,error,created_at
messy-1,1-d1-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,d1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414580-BRl77Vx8athjqp9I9wah,0,0,31663.4142,65624,3295,68919,0,1112,119,0.164754,0.131804,0.03295,True,True,False,7496,221,stop,end_turn,,,2026-07-30T14:30:10.129047
messy-2,2-d1-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,d1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414610-3sPCBdFZpBLRx8aDv3zZ,0,0,17003.2549,15898,1471,17369,1112,0,0,0.0445044,0.0297944,0.01471,True,True,False,3831,111,stop,end_turn,,,2026-07-30T14:30:27.138440
messy-3,3-d1-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,d1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414627-jw76lghTZwXGimldIl97,0,0,21189.7089,40055,2195,42250,1112,0,0,0.1000584,0.0781084,0.02195,True,True,False,5053,142,stop,end_turn,,,2026-07-30T14:30:48.338235
messy-4,4-d1-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,d1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414648-gxKERW9ttsYWDYserlpL,0,0,19560.6711,30680,2023,32703,1112,0,0,0.0795884,0.0593584,0.02023,True,True,False,4808,136,stop,end_turn,,,2026-07-30T14:31:07.909581
messy-5,5-d1-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,d1,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414668-N577jWo2w5N88OlSjb3s,0,0,80703.1717,47796,2330,50126,0,1112,141,0.119448,0.096148,0.0233,True,True,False,5009,141,stop,end_turn,,,2026-07-30T14:32:28.622770
messy-1,1-d2-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,d2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414748-DzMEQeztEJcnvulG8lEr,0,0,30409.9245,65624,3291,68915,1112,0,61,0.1621564,0.1292464,0.03291,True,True,False,6889,220,stop,end_turn,,,2026-07-30T14:32:59.057707
messy-2,2-d2-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,d2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414779-7ifjNytQrzb7dfdCs8Km,0,0,13783.1213,15898,1457,17355,1112,0,0,0.0443644,0.0297944,0.01457,True,True,False,3728,114,stop,end_turn,,,2026-07-30T14:33:12.848807
messy-3,3-d2-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,d2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414792-iS168vmZQRVRy3RvLJBg,0,0,21411.0749,40055,2298,42353,1112,0,0,0.1010884,0.0781084,0.02298,True,True,False,5306,190,stop,end_turn,,,2026-07-30T14:33:34.270908
messy-4,4-d2-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,d2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414814-PglyPOb7rU1xIWYC4294,0,0,22203.666,30680,2310,32990,1112,0,93,0.0824584,0.0593584,0.0231,True,True,False,4887,132,stop,end_turn,,,2026-07-30T14:33:56.482720
messy-5,5-d2-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,d2,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414836-ZeVUP6AAVne4Wzh7ltke,0,0,17361.7079,47796,1994,49790,1112,0,0,0.1135304,0.0935904,0.01994,True,True,False,4681,130,stop,end_turn,,,2026-07-30T14:34:13.856418
messy-1,1-d3-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,d3,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414854-9AJE5WWP7Q4loEfoZBnh,0,0,22578.948,65624,2636,68260,1112,0,72,0.1556064,0.1292464,0.02636,True,True,False,6165,146,stop,end_turn,,,2026-07-30T14:34:36.457362
messy-2,2-d3-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,d3,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414876-1zWQPhc25X6iOEkx5i65,0,0,14479.2104,15898,1503,17401,1112,0,0,0.0448244,0.0297944,0.01503,True,True,False,3814,116,stop,end_turn,,,2026-07-30T14:34:50.943550
messy-3,3-d3-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,d3,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414891-xhxMx1FXjK5hW0pOxAdM,0,0,20022.4211,40055,2247,42302,1112,0,0,0.1005784,0.0781084,0.02247,True,True,False,5135,178,stop,end_turn,,,2026-07-30T14:35:10.976014
messy-4,4-d3-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,d3,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414911-bEhXdTAkrBwGRgl3KkkQ,0,0,20256.7306,30680,2235,32915,1112,0,105,0.0817084,0.0593584,0.02235,True,True,False,4865,138,stop,end_turn,,,2026-07-30T14:35:31.240721
messy-5,5-d3-claude-sonnet-5-1.vue,uis,messy,zero_shot,0.0,medium,auto,d3,messy,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785414931-C4dfdbQ66x146K3tnVfb,0,0,18754.8747,47796,2118,49914,1112,0,22,0.1147704,0.0935904,0.02118,True,True,False,4922,139,stop,end_turn,,,2026-07-30T14:35:50.007644
messy-1,1-d1-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,d1,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785414950-S6FPoV3sXAIYBgkBP4gr,0,0,27547.2867,44080,3124,47204,0,44077,286,0.0923040625,0.0688740625,0.02343,True,True,False,10141,188,stop,completed,,,2026-07-30T14:36:17.570498
messy-2,2-d1-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,d1,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785414977-uErUFBSsJzcoL2u4PjzO,0,0,25051.2211,11063,2535,13598,0,11060,1295,0.0362975,0.017285,0.0190125,True,True,False,4842,144,stop,completed,,,2026-07-30T14:36:42.630826
messy-3,3-d1-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,d1,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785415002-IPX9x85iW5iohhsOCe8Q,0,0,27089.8476,27024,2307,29331,0,0,516,0.102165,0.06756,0.034605,True,True,False,6387,207,stop,completed,,,2026-07-30T14:37:09.729646
messy-4,4-d1-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,d1,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785415029-87W2cfgX08OVYGwk6ct7,0,0,30469.5101,20210,3136,23346,0,0,1206,0.097565,0.050525,0.04704,True,True,False,7337,197,stop,completed,,,2026-07-30T14:37:40.207141
messy-5,5-d1-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,d1,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785415060-GbdS69fhJh6s6g3FwVG6,0,0,16555.481,30446,1896,32342,0,0,319,0.104555,0.076115,0.02844,True,True,False,6122,182,stop,completed,,,2026-07-30T14:37:56.773649
messy-1,1-d2-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,d2,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785415076-juZog8lyVvIdpvWH9vRH,0,0,23221.8847,44080,3405,47485,43669,0,412,0.031509875,0.005972375,0.0255375,True,True,False,11184,252,stop,completed,,,2026-07-30T14:38:20.011103
messy-2,2-d2-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,d2,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785415100-cNDVNlux8iSMijAKxkhx,0,0,16530.2482,11063,1668,12731,10652,0,516,0.01435525,0.00184525,0.01251,True,True,False,4474,146,stop,completed,,,2026-07-30T14:38:36.550566
messy-3,3-d2-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,d2,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785415116-r5IEuupsBuCa6VAwxzJr,0,0,36938.9238,27024,3645,30669,0,0,1253,0.122235,0.06756,0.054675,True,True,False,8384,230,stop,completed,,,2026-07-30T14:39:13.498505
messy-4,4-d2-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,d2,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785415153-4UqoGdDhmXPLXUYplFa4,0,0,18265.5876,20210,2061,22271,0,0,268,0.08144,0.050525,0.030915,True,True,False,6498,181,stop,completed,,,2026-07-30T14:39:31.784013
messy-5,5-d2-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,d2,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785415171-7isNTpHTgkQ53bMz8gxb,0,0,23491.1742,30446,2453,32899,29952,0,797,0.045518,0.008723,0.036795,True,True,False,6290,201,stop,completed,,,2026-07-30T14:39:55.286184
messy-1,1-d3-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,d3,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785415195-42BmhUdLRDfaL9Y2DVTV,0,0,22984.6542,42870,2617,45487,0,0,189,0.14643,0.107175,0.039255,True,True,False,8652,166,stop,completed,,,2026-07-30T14:40:18.286270
messy-2,2-d3-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,d3,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785415218-gx45fEk1tn6mEhMtakIR,0,0,45655.2391,9853,2978,12831,0,0,1742,0.0693025,0.0246325,0.04467,True,True,False,4694,147,stop,completed,,,2026-07-30T14:41:03.946523
messy-3,3-d3-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,d3,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785415264-DPRyZrJTXmoPNZRdw32g,0,0,33306.4256,27024,2863,29887,0,0,1034,0.110505,0.06756,0.042945,True,True,False,6789,211,stop,completed,,,2026-07-30T14:41:37.262986
messy-4,4-d3-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,d3,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785415297-v866NVWHHjRbp2jzBsMk,0,0,46640.2493,20210,4287,24497,0,0,2070,0.11483,0.050525,0.064305,True,True,False,8059,214,stop,completed,,,2026-07-30T14:42:23.916873
messy-5,5-d3-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,d3,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785415344-fawtRYkdiuAHZJp5dRdG,0,0,24691.4501,30446,2003,32449,0,0,516,0.10616,0.076115,0.030045,True,True,False,5501,144,stop,completed,,,2026-07-30T14:42:48.621400
messy-1,1-d1-gemini-3.1-pro-preview-1.vue,uis,messy,zero_shot,0.0,medium,auto,d1,messy,Google,gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,1,1,gen-1785415368-daCtHG2dqE50sE9j4gq9,0,0,55450.1548,55435,5973,61408,0,0,3316,0.182546,0.11087,0.071676,True,True,False,8149,191,stop,STOP,,,2026-07-30T14:43:44.089151
