input,output,type,variant,prompt_strategy,temperature,reasoning_effort,image_detail,strategy,complexity,provider,model,model_reported,run,attempt,generation_id,context_tokens,context_components,duration,input_tokens,output_tokens,total_tokens,cached_tokens,cache_write_tokens,reasoning_tokens,cost_usd,cost_prompt_usd,cost_completion_usd,extraction_ok,parse_ok,truncated,sfc_bytes,sfc_lines,stop_reason,native_finish_reason,refusal,error,created_at
pretty-1,1-d1-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,d1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785411239-uwdhCiGAbS7uxh5lZQe0,0,0,25211.9081,112923,2977,115900,0,11378,14,0.261305,0.231535,0.02977,True,True,False,7939,233,stop,end_turn,,,2026-07-30T13:34:23.796292
pretty-2,2-d1-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,d1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785411264-1B8NisWnkMaU9FrUEfEQ,0,0,12211.8828,33487,1283,34770,11378,0,0,0.0593236,0.0464936,0.01283,True,True,False,3278,97,stop,end_turn,,,2026-07-30T13:34:36.014347
pretty-3,3-d1-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,d1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785411276-gZmRVdT45tOE5RjSK6oI,0,0,20694.5686,70322,2352,72674,11378,0,36,0.1436836,0.1201636,0.02352,True,True,False,5529,171,stop,end_turn,,,2026-07-30T13:34:56.726217
pretty-4,4-d1-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,d1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785411297-qyYmLEm3AiNeDwvQQqB6,0,0,17393.4786,56139,1798,57937,11378,0,15,0.1097776,0.0917976,0.01798,True,True,False,4507,128,stop,end_turn,,,2026-07-30T13:35:14.129708
pretty-5,5-d1-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,d1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785411314-2vF1ULgF2ubxHLUuzS6T,0,0,20559.3841,84763,2162,86925,11378,0,61,0.1706656,0.1490456,0.02162,True,True,False,5119,150,stop,end_turn,,,2026-07-30T13:35:34.704651
pretty-1,1-d2-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,d2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785411335-xs1hnE8hF2AaI8GQPdHd,50699,6,27367.1565,188674,3073,191747,11378,75752,83,0.4254736,0.3947436,0.03073,True,True,False,7682,194,stop,end_turn,,,2026-07-30T13:36:02.111807
pretty-2,2-d2-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,d2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785411362-yEYEHMZK7862wz9jOxFf,36312,5,11740.3677,90962,1181,92143,11378,57476,0,0.2019916,0.1901816,0.01181,True,True,False,2930,88,stop,end_turn,,,2026-07-30T13:36:13.860737
pretty-3,3-d2-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,d2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785411374-6CZMEmJsWYEPDSangDhQ,58148,6,20643.7259,156942,2125,159067,11378,86621,39,0.3579641,0.3367141,0.02125,True,True,False,5135,145,stop,end_turn,,,2026-07-30T13:36:34.517462
pretty-4,4-d2-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,d2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785411394-hXrnoLRBUN4lngVdRrJF,63638,7,21190.2583,151757,1715,153472,11378,95619,15,0.3479931,0.3308431,0.01715,True,True,False,4320,117,stop,end_turn,,,2026-07-30T13:36:55.725474
pretty-5,5-d2-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,d2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785411416-x4JcH14R0eUzKnA9b68E,68756,9,20230.4947,189681,1940,191621,11378,104919,0,0.4307411,0.4113411,0.0194,True,True,False,4866,121,stop,end_turn,,,2026-07-30T13:37:15.973613
pretty-1,1-d3-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,d3,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785411436-gpSNZR3u23CMApozCtY0,9752,6,25638.082,127648,2960,130608,11378,14726,14,0.2717786,0.2421786,0.0296,True,True,False,7805,212,stop,end_turn,,,2026-07-30T13:37:41.636741
pretty-2,2-d3-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,d3,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785411461-VWMBrD8ko8pFPD2yriuo,7616,5,12737.0894,45210,1195,46405,11378,11724,0,0.0877516,0.0758016,0.01195,True,True,False,3028,91,stop,end_turn,,,2026-07-30T13:37:54.379846
pretty-3,3-d3-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,d3,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785411474-yRYaCZFsKYQ7XL1dsuA9,12966,6,21178.328,89649,2024,91673,11378,19328,0,0.1887216,0.1684816,0.02024,True,True,False,4805,131,stop,end_turn,,,2026-07-30T13:38:15.574324
pretty-4,4-d3-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,d3,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785411495-LWNN4Bxf7LTBGMShYjbP,13610,7,17378.8688,76536,1828,78364,11378,20398,0,0.1610706,0.1427906,0.01828,True,True,False,4681,123,stop,end_turn,,,2026-07-30T13:38:32.963182
pretty-5,5-d3-claude-sonnet-5-1.vue,uis,pretty,few_shot,0.0,medium,auto,d3,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785411513-IYfyqeyxYGimuHAo5XEF,17880,9,18623.4734,111369,1979,113348,11378,26607,0,0.2353511,0.2155611,0.01979,True,True,False,4948,125,stop,end_turn,,,2026-07-30T13:38:51.609044
pretty-1,1-d1-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,auto,d1,pretty,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785411531-sorPlRp177lLwvHj5lP3,0,0,19319.257,72239,2328,74567,0,72236,451,0.1303325,0.1128725,0.01746,True,True,False,7513,171,stop,completed,,,2026-07-30T13:39:10.951308
pretty-2,2-d1-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,auto,d1,pretty,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785411551-FO4q9ZHdwG4vN6DJpbJk,0,0,16510.6716,20582,1385,21967,0,0,430,0.07223,0.051455,0.020775,True,True,False,3807,119,stop,completed,,,2026-07-30T13:39:27.477419
pretty-3,3-d1-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,auto,d1,pretty,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785411567-Di7koeEvJS2lUICy5ckk,0,0,31297.8139,44919,2107,47026,0,0,388,0.1439025,0.1122975,0.031605,True,True,False,6428,178,stop,completed,,,2026-07-30T13:39:58.787230
pretty-4,4-d1-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,auto,d1,pretty,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785411599-yoryylh3STz4EUQVIK44,0,0,19475.3609,35528,1870,37398,6400,0,352,0.10247,0.07442,0.02805,True,True,False,5757,170,stop,completed,,,2026-07-30T13:40:18.276968
pretty-5,5-d1-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,auto,d1,pretty,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785411618-ZAspJNB4QnEMpMth7WqX,0,0,16609.6709,52203,1859,54062,6400,0,298,0.1439925,0.1161075,0.027885,True,True,False,5963,165,stop,completed,,,2026-07-30T13:40:34.901358
pretty-1,1-d2-gpt-5.6-terra-1.vue,uis,pretty,few_shot,0.0,medium,auto,d2,pretty,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785411635-8X8anX4P9kZhNQr7PLZM,50699,6,26380.8877,119451,2835,122286,0,119448,313,0.20790375,0.18664125,0.0212625,True,True,False,11044,290,stop,completed,,,2026-07-30T13:41:01.303248
