input,output,type,variant,prompt_strategy,temperature,reasoning_effort,image_detail,strategy,complexity,provider,model,model_reported,run,attempt,generation_id,context_tokens,context_components,duration,input_tokens,output_tokens,total_tokens,cached_tokens,cache_write_tokens,reasoning_tokens,cost_usd,cost_prompt_usd,cost_completion_usd,extraction_ok,parse_ok,truncated,sfc_bytes,sfc_lines,stop_reason,native_finish_reason,refusal,error,created_at
pretty-1,1-d1-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,auto,d1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785409473-5XWOwT5IqoVIDtXpv86j,0,0,26986.3737,102657,3333,105990,0,1112,0,0.2392,0.20587,0.03333,True,True,False,8521,222,stop,end_turn,,,2026-07-30T13:04:59.547241
pretty-2,2-d1-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,auto,d1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785409499-Dz95tYqtnRoO4diGGLRg,0,0,13276.8025,23221,1396,24617,1112,0,0,0.0584004,0.0444404,0.01396,True,True,False,3534,101,stop,end_turn,,,2026-07-30T13:05:12.829049
pretty-3,3-d1-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,auto,d1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785409513-VtwBWWirJB7HQYjpEUQh,0,0,21855.0107,60056,2386,62442,1112,0,12,0.1419704,0.1181104,0.02386,True,True,False,5655,192,stop,end_turn,,,2026-07-30T13:05:34.695192
pretty-4,4-d1-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,auto,d1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785409534-URuIB2gGB9LXgrgugZE4,0,0,18571.3465,45873,2152,48025,1112,0,0,0.1112644,0.0897444,0.02152,True,True,False,5329,136,stop,end_turn,,,2026-07-30T13:05:53.276569
pretty-5,5-d1-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,auto,d1,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785409553-PRctZVMxmEcAuXKIrPBT,0,0,20354.7239,74497,2317,76814,1112,0,0,0.1701624,0.1469924,0.02317,True,True,False,5565,174,stop,end_turn,,,2026-07-30T13:06:13.650912
pretty-1,1-d2-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,auto,d2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785409574-haK8RGJZcajSjbj8vDo2,50699,6,30695.653,178408,2727,181135,1112,75752,32,0.4199604,0.3926904,0.02727,True,True,False,6777,157,stop,end_turn,,,2026-07-30T13:06:44.374255
pretty-2,2-d2-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,auto,d2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785409604-KQPscrKATeIuN4KstK2Q,36312,5,15094.3916,80696,1483,82179,1112,57476,0,0.2029584,0.1881284,0.01483,True,True,False,3907,123,stop,end_turn,,,2026-07-30T13:06:59.475246
pretty-3,3-d2-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,auto,d2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785409619-yutZyHhIRGdydhD64vlc,58148,6,24244.5188,146676,2278,148954,1112,86621,22,0.3574409,0.3346609,0.02278,True,True,False,5366,153,stop,end_turn,,,2026-07-30T13:07:23.731995
pretty-4,4-d2-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,auto,d2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785409644-plejotgW5s3V7fhCQ3Li,63638,7,20887.1481,141491,2100,143591,1112,95619,19,0.3497899,0.3287899,0.021,True,True,False,5034,146,stop,end_turn,,,2026-07-30T13:07:44.629235
pretty-5,5-d2-claude-sonnet-5-1.vue,uis,pretty,zero_shot,0.0,medium,auto,d2,pretty,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785409665-D6sOZQr24Gq6o6bLHiqS,68756,9,24125.9344,179415,2535,181950,1112,104919,0,0.4346379,0.4092879,0.02535,True,True,False,6278,176,stop,end_turn,,,2026-07-30T13:08:08.771218
